gisjoin,fips,adi_natrank,adi_staternk
G37001709504005,370179504005,89,9
G37001709504006,370179504006,92,10
G37001709505001,370179505001,72,7
G37001709505002,370179505002,87,9
G37001709505003,370179505003,99,10
G37001709505004,370179505004,84,9
G37001709505005,370179505005,93,10
G37001709505006,370179505006,86,9
G37001709506001,370179506001,87,9
G37001709506002,370179506002,86,9
G37001709506003,370179506003,61,5
G37001709506004,370179506004,71,7
G37001709506005,370179506005,98,10
G37001709506006,370179506006,87,9
G37001709506007,370179506007,91,10
G37001900201011,370190201011,74,7
G37001900201021,370190201021,64,6
G37001900201031,370190201031,61,5
G37001900201032,370190201032,32,2
G37001900201033,370190201033,23,1
G37001900201041,370190201041,56,5
G37001900201042,370190201042,76,7
G37001900201043,370190201043,60,5
G37001900202011,370190202011,40,3
G37001900202012,370190202012,50,4
G37001900202021,370190202021,27,2
G37001900202022,370190202022,68,6
G37001900202031,370190202031,46,3
G37001900202032,370190202032,54,4
G37001900202041,370190202041,52,4
G37001900202042,370190202042,74,7
G37001900202043,370190202043,52,4
G37001900202044,370190202044,59,5
G37001900203031,370190203031,25,2
G37001900203032,370190203032,69,6
G37001900203041,370190203041,12,1
G37001900203042,370190203042,35,2
G37001900203051,370190203051,40,3
G37001900203052,370190203052,40,3
G37001900203061,370190203061,50,4
G37001900203062,370190203062,19,1
G37001900203063,370190203063,78,8
G37001900203071,370190203071,4,1
G37001900203081,370190203081,31,2
G37001900203082,370190203082,14,1
G37001900203091,370190203091,36,2
G37001900203092,370190203092,26,2
G37001900203093,370190203093,36,2
G37001900203101,370190203101,32,2
G37001900203102,370190203102,58,5
G37001900203103,370190203103,46,3
G37001900203104,370190203104,38,3
G37001900203105,370190203105,15,1
G37001900204022,370190204022,17,1
G37001900204023,370190204023,15,1
G37001900204024,370190204024,7,1
G37001900204025,370190204025,34,2
G37001900204026,370190204026,91,10
G37001900204031,370190204031,90,9
G37001900204032,370190204032,88,9
G37001900204033,370190204033,75,7
G37001900204034,370190204034,89,9
G37001900204035,370190204035,72,7
G37001900204041,370190204041,63,6
G37001900204042,370190204042,86,9
G37001900204043,370190204043,98,10
G37001900204051,370190204051,69,6
G37001900204052,370190204052,34,2
G37001900205041,370190205041,24,2
G37001900205051,370190205051,81,8
G37001900205052,370190205052,85,9
G37001900205053,370190205053,69,6
G37001900205061,370190205061,75,7
G37001900205062,370190205062,38,3
G37001900205071,370190205071,50,4
G37001900205072,370190205072,55,5
G37001900205073,370190205073,50,4
G37001900205074,370190205074,48,4
G37001900205075,370190205075,40,3
G37001900205081,370190205081,34,2
G37001900205082,370190205082,11,1
G37001900205091,370190205091,60,5
G37001900205092,370190205092,69,6
G37001900205093,370190205093,22,1
G37001900205094,370190205094,16,1
G37001900205096,370190205096,77,8
G37001900205101,370190205101,72,7
G37001900205102,370190205102,78,8
G37001900205103,370190205103,70,7
G37001900205111,370190205111,57,5
G37001900205112,370190205112,35,2
G37001900205121,370190205121,14,1
G37001900205122,370190205122,19,1
G37001900205123,370190205123,12,1
G37001900205124,370190205124,8,1
G37001900206011,370190206011,62,6
G37001900206012,370190206012,69,6
G37001900206021,370190206021,70,7
G37001900206022,370190206022,79,8
G37001900206023,370190206023,66,6
G37001900206024,370190206024,69,6
G37001900206031,370190206031,65,6
G37002100001001,370210001001,21,1
G37002100002001,370210002001,58,5
G37002100002002,370210002002,28,2
G37002100003001,370210003001,30,2
G37002100003002,370210003002,33,2
G37002100004002,370210004002,57,5
G37002100004003,370210004003,36,2
G37002100005001,370210005001,17,1
G37002100005002,370210005002,4,1
G37002100005003,370210005003,21,1
G37002100006001,370210006001,19,1
G37002100006002,370210006002,58,5
G37002100007001,370210007001,56,5
G37002100008001,370210008001,46,3
G37002100008002,370210008002,26,2
G37002100009001,370210009001,47,4
G37002100009002,370210009002,74,7
G37002100009003,370210009003,77,8
G37002100010001,370210010001,51,4
G37002100010002,370210010002,55,5
G37002100010003,370210010003,43,3
G37002100011001,370210011001,54,4
G37002100011002,370210011002,39,3
G37002100011003,370210011003,54,4
G37002100012001,370210012001,55,5
G37002100012002,370210012002,37,2
G37002100012003,370210012003,46,3
G37002100012004,370210012004,42,3
G37002100012005,370210012005,69,6
G37002100013001,370210013001,61,5
